gh_user,translator,revisor1,revisor2
Agn25,TRUE,FALSE,FALSE
AlessiaQ91,FALSE,TRUE,TRUE
Titty11,FALSE,TRUE,FALSE
# danilily,TRUE,FALSE,FALSE
eleonoragee,TRUE,FALSE,FALSE
fedescimo,FALSE,TRUE,FALSE
kudelka85,TRUE,FALSE,FALSE
lorenza76,TRUE,FALSE,FALSE
# pmav83,FALSE,TRUE,TRUE
# re-ale,TRUE,FALSE,FALSE
roxans,TRUE,FALSE,FALSE
# snupa89,TRUE,FALSE,FALSE
sturiandre,TRUE,FALSE,FALSE
# vee1396,TRUE,FALSE,FALSE
# virgip1,TRUE,FALSE,FALSE
StefiAv,TRUE,FALSE,FALSE
StefanoMartorana,TRUE,FALSE,FALSE
# Alinda84,TRUE,FALSE,FALSE
# Giulietta33,TRUE,FALSE,FALSE
SaraImbr,TRUE,FALSE,FALSE
# walrusina,TRUE,FALSE,FALSE
